YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2024,1,1,1,ABE,ORD,0626,0621,-5.00,0805,0726,-39.00
2024,1,1,1,ABE,ORD,1730,1723,-7.00,1900,1836,-24.00
2024,1,1,1,ABQ,MDW,0600,0600,0.00,0940,0944,4.00
2024,1,1,1,ABQ,ORD,1258,1250,-8.00,1648,1631,-17.00
2024,1,1,1,ABQ,ORD,1358,1349,-9.00,1745,1736,-9.00
2024,1,1,1,ALB,MDW,0740,0737,-3.00,0900,0832,-28.00
2024,1,1,1,ALB,MDW,1850,1848,-2.00,2015,1946,-29.00
2024,1,1,1,ALB,ORD,0600,0617,17.00,0747,0720,-27.00
2024,1,1,1,ALB,ORD,1651,1643,-8.00,1838,1803,-35.00
2024,1,1,1,ANC,ORD,2100,0048,228.00,0606,0936,210.00
2024,1,1,1,ASE,ORD,0810,0856,46.00,1214,1305,51.00
2024,1,1,1,ASE,ORD,1123,1118,-5.00,1527,1519,-8.00
2024,1,1,1,ASE,ORD,1300,1300,0.00,1659,1722,23.00
2024,1,1,1,ASE,ORD,1335,1530,115.00,1739,1926,107.00
2024,1,1,1,ASE,ORD,1624,1657,33.00,2025,2048,23.00
2024,1,1,1,ATL,BMI,1459,1514,15.00,1549,1548,-1.00
2024,1,1,1,ATL,BMI,2142,2138,-4.00,2235,2221,-14.00
2024,1,1,1,ATL,MDW,0705,0703,-2.00,0755,0745,-10.00
2024,1,1,1,ATL,MDW,0915,0912,-3.00,1010,1001,-9.00
2024,1,1,1,ATL,MDW,0930,0935,5.00,1025,1023,-2.00
2024,1,1,1,ATL,MDW,1420,1444,24.00,1510,1527,17.00
2024,1,1,1,ATL,MDW,1525,1522,-3.00,1620,1613,-7.00
2024,1,1,1,ATL,MDW,1720,1755,35.00,1815,1843,28.00
2024,1,1,1,ATL,MDW,1821,1821,0.00,1918,1934,16.00
2024,1,1,1,ATL,MDW,1945,1934,-11.00,2043,2021,-22.00
2024,1,1,1,ATL,MDW,2010,2009,-1.00,2105,2104,-1.00
2024,1,1,1,ATL,MLI,1510,1505,-5.00,1616,1610,-6.00
2024,1,1,1,ATL,MLI,2121,2108,-13.00,2225,2157,-28.00
2024,1,1,1,ATL,ORD,0615,0659,44.00,0729,0822,53.00
2024,1,1,1,ATL,ORD,0631,0619,-12.00,0740,0714,-26.00
2024,1,1,1,ATL,ORD,0640,0631,-9.00,0757,0723,-34.00
