YEAR,MONTH,DAY,SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,DEPARTURE_DELAY,ORG_AIRPORT,DEST_AIRPORT
2024,1,1,1350,1350.0,1655,1649.0,0.0,ORD,ABE
2024,1,1,1800,1806.0,2100,2106.0,6.0,ORD,ABE
2024,1,1,920,916.0,1148,1106.0,-4.0,ORD,ABQ
2024,1,1,1047,1039.0,1307,1230.0,-8.0,ORD,ABQ
2024,1,1,1150,1145.0,1449,1439.0,-5.0,ORD,ALB
2024,1,1,1840,1843.0,2146,2157.0,3.0,ORD,ALB
2024,1,1,826,817.0,1053,1006.0,-9.0,ORD,ASE
2024,1,1,845,842.0,1111,1042.0,-3.0,ORD,ASE
2024,1,1,1010,1034.0,1229,1334.0,24.0,ORD,ASE
2024,1,1,1310,1426.0,1542,1624.0,76.0,ORD,ASE
2024,1,1,1535,1533.0,1749,1729.0,-2.0,ORD,ASE
2024,1,1,541,549.0,844,842.0,8.0,ORD,ATL
2024,1,1,700,659.0,1007,937.0,-1.0,ORD,ATL
2024,1,1,705,706.0,1010,949.0,1.0,ORD,ATL
2024,1,1,955,954.0,1252,1234.0,-1.0,ORD,ATL
2024,1,1,1035,1035.0,1342,1326.0,0.0,ORD,ATL
2024,1,1,1100,1101.0,1356,1341.0,1.0,ORD,ATL
2024,1,1,1405,1401.0,1702,1639.0,-4.0,ORD,ATL
2024,1,1,1444,1440.0,1752,1723.0,-4.0,ORD,ATL
2024,1,1,1459,1521.0,1758,1804.0,22.0,ORD,ATL
2024,1,1,1718,1717.0,2013,2014.0,-1.0,ORD,ATL
2024,1,1,1820,1816.0,2131,2106.0,-4.0,ORD,ATL
2024,1,1,1820,1825.0,2138,2132.0,5.0,ORD,ATL
2024,1,1,1905,1917.0,2202,2209.0,12.0,ORD,ATL
2024,1,1,2034,2155.0,2345,134.0,81.0,ORD,ATL
2024,1,1,1035,1029.0,1147,1125.0,-6.0,ORD,ATW
2024,1,1,1326,1325.0,1426,1426.0,-1.0,ORD,ATW
2024,1,1,1355,1353.0,1510,1502.0,-2.0,ORD,ATW
2024,1,1,1825,1815.0,1941,1956.0,-10.0,ORD,ATW
2024,1,1,2015,2011.0,2128,2115.0,-4.0,ORD,ATW
2024,1,1,836,827.0,1139,1130.0,-9.0,ORD,AUS
2024,1,1,916,909.0,1219,1155.0,-7.0,ORD,AUS
2024,1,1,1215,1212.0,1505,1450.0,-3.0,ORD,AUS
2024,1,1,1245,1243.0,1545,1516.0,-2.0,ORD,AUS
2024,1,1,1322,1318.0,1622,1558.0,-4.0,ORD,AUS
2024,1,1,1620,1701.0,1910,1931.0,41.0,ORD,AUS
