YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2024,1,1,1,ORD,ABE,1350,1350.0,0.0,1655,1649.0,-6.0
2024,1,1,1,ORD,ABE,1800,1806.0,6.0,2100,2106.0,6.0
2024,1,1,1,ORD,ABQ,920,916.0,-4.0,1148,1106.0,-42.0
2024,1,1,1,ORD,ABQ,1047,1039.0,-8.0,1307,1230.0,-37.0
2024,1,1,1,ORD,ALB,1150,1145.0,-5.0,1449,1439.0,-10.0
2024,1,1,1,ORD,ALB,1840,1843.0,3.0,2146,2157.0,11.0
2024,1,1,1,ORD,ASE,826,817.0,-9.0,1053,1006.0,-47.0
2024,1,1,1,ORD,ASE,845,842.0,-3.0,1111,1042.0,-29.0
2024,1,1,1,ORD,ASE,1010,1034.0,24.0,1229,1334.0,65.0
2024,1,1,1,ORD,ASE,1310,1426.0,76.0,1542,1624.0,42.0
2024,1,1,1,ORD,ASE,1535,1533.0,-2.0,1749,1729.0,-20.0
2024,1,1,1,ORD,ATL,541,549.0,8.0,844,842.0,-2.0
2024,1,1,1,ORD,ATL,700,659.0,-1.0,1007,937.0,-30.0
2024,1,1,1,ORD,ATL,705,706.0,1.0,1010,949.0,-21.0
2024,1,1,1,ORD,ATL,955,954.0,-1.0,1252,1234.0,-18.0
2024,1,1,1,ORD,ATL,1035,1035.0,0.0,1342,1326.0,-16.0
2024,1,1,1,ORD,ATL,1100,1101.0,1.0,1356,1341.0,-15.0
2024,1,1,1,ORD,ATL,1405,1401.0,-4.0,1702,1639.0,-23.0
2024,1,1,1,ORD,ATL,1444,1440.0,-4.0,1752,1723.0,-29.0
2024,1,1,1,ORD,ATL,1459,1521.0,22.0,1758,1804.0,6.0
2024,1,1,1,ORD,ATL,1718,1717.0,-1.0,2013,2014.0,1.0
2024,1,1,1,ORD,ATL,1820,1816.0,-4.0,2131,2106.0,-25.0
2024,1,1,1,ORD,ATL,1820,1825.0,5.0,2138,2132.0,-6.0
2024,1,1,1,ORD,ATL,1905,1917.0,12.0,2202,2209.0,7.0
2024,1,1,1,ORD,ATL,2034,2155.0,81.0,2345,134.0,109.0
2024,1,1,1,ORD,ATW,1035,1029.0,-6.0,1147,1125.0,-22.0
2024,1,1,1,ORD,ATW,1326,1325.0,-1.0,1426,1426.0,0.0
2024,1,1,1,ORD,ATW,1355,1353.0,-2.0,1510,1502.0,-8.0
2024,1,1,1,ORD,ATW,1825,1815.0,-10.0,1941,1956.0,15.0
2024,1,1,1,ORD,ATW,2015,2011.0,-4.0,2128,2115.0,-13.0
2024,1,1,1,ORD,AUS,836,827.0,-9.0,1139,1130.0,-9.0
2024,1,1,1,ORD,AUS,916,909.0,-7.0,1219,1155.0,-24.0
2024,1,1,1,ORD,AUS,1215,1212.0,-3.0,1505,1450.0,-15.0
2024,1,1,1,ORD,AUS,1245,1243.0,-2.0,1545,1516.0,-29.0
2024,1,1,1,ORD,AUS,1322,1318.0,-4.0,1622,1558.0,-24.0
2024,1,1,1,ORD,AUS,1620,1701.0,41.0,1910,1931.0,21.0
2024,1,1,1,ORD,AUS,1723,1721.0,-2.0,2012,1952.0,-20.0
2024,1,1,1,ORD,AUS,1955,2001.0,6.0,2257,2247.0,-10.0
2024,1,1,1,ORD,AUS,2045,2219.0,94.0,2342,54.0,72.0
2024,1,1,1,ORD,AVL,1105,1100.0,-5.0,1357,1351.0,-6.0
2024,1,1,1,ORD,AVL,1945,1938.0,-7.0,2246,2226.0,-20.0
2024,1,1,1,ORD,AVP,1458,1454.0,-4.0,1747,1743.0,-4.0
2024,1,1,1,ORD,BDL,1100,1120.0,20.0,1405,1426.0,21.0
2024,1,1,1,ORD,BDL,1330,1327.0,-3.0,1636,1643.0,7.0
2024,1,1,1,ORD,BDL,1820,1814.0,-6.0,2132,2129.0,-3.0
2024,1,1,1,ORD,BDL,1826,1823.0,-3.0,2132,2134.0,2.0
2024,1,1,1,ORD,BHM,1055,1048.0,-7.0,1305,1240.0,-25.0
2024,1,1,1,ORD,BNA,630,626.0,-4.0,800,744.0,-16.0
2024,1,1,1,ORD,BNA,735,731.0,-4.0,923,857.0,-26.0
2024,1,1,1,ORD,BNA,838,827.0,-11.0,1021,1003.0,-18.0
2024,1,1,1,ORD,BNA,1000,956.0,-4.0,1137,1113.0,-24.0
2024,1,1,1,ORD,BNA,1035,1028.0,-7.0,1222,1157.0,-25.0
2024,1,1,1,ORD,BNA,1045,1041.0,-4.0,1215,1206.0,-9.0
2024,1,1,1,ORD,BNA,1205,1205.0,0.0,1340,1332.0,-8.0
2024,1,1,1,ORD,BNA,1350,1415.0,25.0,1520,1603.0,43.0
2024,1,1,1,ORD,BNA,1413,1407.0,-6.0,1553,1539.0,-14.0
2024,1,1,1,ORD,BNA,1540,1534.0,-6.0,1713,1721.0,8.0
2024,1,1,1,ORD,BNA,1758,1755.0,-3.0,1949,1925.0,-24.0
2024,1,1,1,ORD,BNA,1850,1855.0,5.0,2031,2029.0,-2.0
2024,1,1,1,ORD,BNA,1855,1901.0,6.0,2030,2021.0,-9.0
2024,1,1,1,ORD,BNA,2000,1955.0,-5.0,2154,2136.0,-18.0
2024,1,1,1,ORD,BOI,845,843.0,-2.0,1150,1112.0,-38.0
2024,1,1,1,ORD,BOS,715,712.0,-3.0,1035,1039.0,4.0
2024,1,1,1,ORD,BOS,725,746.0,21.0,1052,1130.0,38.0
2024,1,1,1,ORD,BOS,815,810.0,-5.0,1148,1132.0,-16.0
2024,1,1,1,ORD,BOS,815,817.0,2.0,1139,1137.0,-2.0
2024,1,1,1,ORD,BOS,837,823.0,-14.0,1201,1136.0,-25.0
2024,1,1,1,ORD,BOS,920,915.0,-5.0,1239,1234.0,-5.0
2024,1,1,1,ORD,BOS,1050,1048.0,-2.0,1410,1408.0,-2.0
2024,1,1,1,ORD,BOS,1320,1353.0,33.0,1629,1711.0,42.0
2024,1,1,1,ORD,BOS,1406,1401.0,-5.0,1726,1725.0,-1.0
2024,1,1,1,ORD,BOS,1500,1448.0,-12.0,1830,1824.0,-6.0
2024,1,1,1,ORD,BOS,1524,1516.0,-8.0,1834,1914.0,40.0
2024,1,1,1,ORD,BOS,1820,1818.0,-2.0,2144,2146.0,2.0
